"lsam","linc","educ","cacc","sacc","hous","life","occ"
4.60517018598809,10.5466563632898,14,2,2,3,1,2
6.95654544315157,10.128629106513,15,2,2,4,2,4
3.91202300542815,13.8451179027169,17,2,1,3,1,6
5.01063529409626,10.7155282630365,12,4,2,3,1,7
3.91202300542815,14.2537977464397,17,6,1,3,1,6
3.91202300542815,14.771041233576,17,2,1,7,1,6
11.590349361935,12.3151512405564,17,2,2,3,1,6
15.0596795610411,16.1250762299257,16,6,3,3,1,6
11.0029328275081,11.5810512940178,12,2,2,3,1,6
3.91202300542815,13.0171139666852,17,3,1,3,1,6
8.5271435222694,11.3150840965182,16,2,2,6,1,7
3.91202300542815,13.9639736656019,16,5,1,3,2,6
3.91202300542815,9.95465583911053,12,2,1,4,1,2
7.40853056689463,11.4191640851558,12,3,6,3,1,6
6.10924758276437,12.2310091308202,17,3,2,3,1,6
11.1988994171788,11.9706667176438,15,3,2,6,1,7
13.8155605567143,14.2008069717819,16,3,4,6,2,6
7.62559507213245,11.1131938887098,13,3,2,3,1,5
3.91202300542815,12.5778086008942,17,2,1,3,1,6
9.90598443273472,12.4531280168907,16,2,2,3,1,6
3.91202300542815,11.6267004792291,17,4,1,3,1,7
5.85793315448346,10.8207777847434,12,2,2,4,1,3
3.91202300542815,11.4191640851558,15,3,1,3,2,7
8.5271435222694,11.6703564729191,14,5,5,3,1,6
3.91202300542815,10.3106179399634,8,2,1,3,2,5
11.5621917062731,11.9187238508685,13,2,3,3,1,6
15.1019983958613,14.5526985470998,12,5,3,3,1,7
10.128629106513,14.2008069717819,16,3,6,3,1,6
3.91202300542815,11.4081203506041,11,2,1,3,1,3
9.11052003669397,11.6956636016494,16,2,2,3,1,6
12.6573074878825,15.4699313962249,16,3,3,3,1,6
5.52146091786225,10.4355853115777,10,2,3,3,1,7
8.5271435222694,11.350994597824,15,2,4,3,1,6
9.21532791348722,11.9120370991062,12,3,2,3,2,6
7.62559507213245,10.8599600740431,16,3,3,4,2,5
3.91202300542815,13.7757817157353,17,2,1,3,2,6
3.91202300542815,11.1569645517652,12,3,1,3,1,3
3.91202300542815,11.6267004792291,17,4,1,3,1,7
3.91202300542815,10.5200236307242,12,3,1,3,1,2
8.5271435222694,13.0711753406349,17,5,2,3,1,5
9.61913327017702,14.4468089301972,17,3,5,3,1,1
7.0475172213573,15.4368869226378,16,4,2,3,2,6
3.91202300542815,10.4057768452798,11,2,2,4,2,2
10.001067880875,11.8985279439821,16,3,2,3,1,6
8.30647216010058,11.3626838016397,16,2,2,3,1,5
8.9159693113736,10.8976648230674,16,3,2,3,1,6
4.0943445622221,10.6930806313643,14,3,3,4,1,5
3.91202300542815,10.5200236307242,16,2,1,4,1,2
3.91202300542815,14.8124776428702,17,5,1,3,1,6
3.91202300542815,10.2767737622801,12,2,1,4,1,5
3.91202300542815,15.1478897695837,16,4,1,3,1,5
3.91202300542815,11.3150840965182,12,2,1,3,2,2
3.91202300542815,11.2904067184249,17,4,1,3,1,4
3.91202300542815,10.0878902755339,12,3,1,3,2,5
4.00733318523247,10.4645308924627,11,2,4,4,1,2
8.5271435222694,10.128629106513,13,3,3,4,1,7
11.2522098407483,10.7374830416835,10,2,3,3,1,7
8.5271435222694,11.2391462976874,17,2,2,4,1,6
3.91202300542815,11.4081203506041,12,2,1,3,2,2
3.91202300542815,11.7984802764058,14,2,3,3,1,6
11.5134253400119,11.3391671388368,16,4,2,5,1,6
3.91202300542815,11.1425861588374,13,3,1,2,1,3
3.91202300542815,11.2778358426376,12,3,1,3,1,2
3.91202300542815,10.2054422842746,12,3,1,3,2,7
11.1851156014277,16.8422593086994,16,3,2,3,1,6
10.128629106513,13.5542107267866,16,4,3,3,1,3
11.1569645517652,12.5639218996967,16,3,2,3,1,6
8.02289686960146,12.6249474405483,17,5,2,3,1,7
3.91202300542815,9.13237883050647,12,1,1,4,2,7
3.91202300542815,12.0898196887059,17,2,1,3,1,6
7.62559507213245,12.6117044064177,16,5,2,3,1,6
10.5978839524965,13.7768217033492,14,3,5,3,1,5
9.21532791348722,12.506362406021,16,3,2,3,1,5
3.91202300542815,12.4838937581351,17,4,1,3,1,6
3.91202300542815,11.5995617716298,13,3,1,3,1,5
6.30991827822652,11.4408922620704,17,2,2,3,1,6
3.91202300542815,10.7799974143984,9,2,1,3,2,7
9.3101857069459,10.8789901440421,16,2,5,3,1,6
9.61913327017702,11.4408922620704,17,4,2,3,1,6
3.91202300542815,10.969059987126,13,2,1,3,2,7
3.91202300542815,14.1732199666598,12,2,1,3,2,7
10.128629106513,11.5810512940178,12,3,2,3,1,5
4.60517018598809,10.3750524623488,13,3,3,3,1,5
11.5134253400119,12.1497668093191,16,2,3,6,1,7
6.85646198459459,11.1569645517652,12,4,2,3,1,3
3.91202300542815,12.2063226142854,14,3,1,2,1,3
10.5978839524965,10.7799974143984,14,2,2,3,1,6
3.91202300542815,11.4515818347292,16,2,1,3,1,6
7.62559507213245,11.6617764117026,16,2,2,3,1,6
3.91202300542815,10.7155282630365,12,2,1,3,1,7
8.99342737041261,11.7121860758211,16,3,3,3,1,6
4.0943445622221,9.85482238055485,14,2,2,3,2,2
11.3150840965182,12.4609086435769,17,4,3,3,1,6
9.61913327017702,13.0878754469457,17,3,2,3,1,6
3.91202300542815,10.9339994285003,12,2,1,4,2,3
7.62559507213245,12.0438477904353,16,5,2,3,1,6
8.88875674784872,11.4191640851558,17,3,3,3,1,7
3.91202300542815,11.4191640851558,16,3,1,4,2,6
10.8207777847434,13.4225420411854,16,2,2,5,1,6
3.91202300542815,11.0029328275081,13,3,1,3,1,7
3.91202300542815,12.1175146185484,17,3,1,3,1,7
3.91202300542815,9.85482238055485,10,2,1,3,2,3
3.91202300542815,11.4081203506041,11,2,1,3,1,3
9.61913327017702,10.128629106513,16,2,2,3,1,4
6.95654544315157,14.8415700747839,17,5,3,3,1,6
3.91202300542815,10.8976648230674,9,2,1,3,1,3
8.5271435222694,11.6267004792291,17,3,2,3,1,5
4.24849524204936,10.4926621427131,13,3,2,4,1,3
8.1461295100254,11.6531220954635,17,2,2,3,1,6
3.91202300542815,11.1711391335252,14,2,1,4,1,2
3.91202300542815,11.5526268318218,16,3,1,3,1,7
3.91202300542815,8.90245559220688,7,1,1,4,1,7
3.91202300542815,11.6531220954635,17,2,1,3,1,6
3.91202300542815,10.4926621427131,12,1,1,4,2,4
3.91202300542815,13.854779346885,17,2,1,3,1,6
13.8155605567143,14.9469287983576,16,3,2,3,1,6
3.91202300542815,13.2980798351461,16,6,1,3,1,7
3.91202300542815,13.3708627359808,17,4,2,3,1,7
10.7799974143984,12.3329255365261,16,2,4,3,1,5
9.21532791348722,11.7444339326161,16,3,4,3,1,6
3.91202300542815,10.4926621427131,12,1,1,4,2,4
8.17470288246946,10.8976648230674,12,2,2,3,1,2
3.91202300542815,10.8599600740431,12,1,1,4,2,3
13.1224633724047,14.2008069717819,16,5,6,3,1,6
8.02289686960146,11.0029328275081,17,4,3,3,2,6
3.91202300542815,10.7155282630365,16,3,1,4,1,6
3.91202300542815,11.4829815885972,17,3,1,3,2,7
12.5247081783036,11.1279980080796,16,4,2,3,1,5
3.91202300542815,10.2767737622801,11,2,1,4,2,5
3.91202300542815,10.5978839524965,10,2,1,3,1,7
3.91202300542815,16.9427117862792,17,4,1,3,2,6
3.91202300542815,11.5233707228318,16,3,1,3,1,3
3.91202300542815,12.7771934250799,12,2,1,3,1,6
